1. Faixa etária:;2. Gênero:;3. Universidade pública do Estado do Paraná em que atua:;5. Área principal de atuação docente:;7. Tempo de docência no Ensino Superior (não somente na atual IES):;8. Maior titulação acadêmica concluída:;9. Minha formação inicial abordou adequadamente o uso pedagógico de tecnologias digitais educacionais.;10. Sinto-me preparado(a) para incorporar novas tecnologias digitais educacionais às minhas práticas docentes.;11. Já tive contato formativo com o tema Inteligência Artificial aplicada à educação.;12. Nos últimos 24 meses, participei de formações continuadas em tecnologias educacionais.;13. Tenho uma compreensão clara do que é Inteligência Artificial e de como ela funciona em termos gerais.;14. Conheço a diferença entre Inteligência Artificial tradicional (preditiva) e Inteligência Artificial generativa (criativa).;15. Já utilizei ferramentas de IA generativa em contextos pessoais ou profissionais.;16. Sinto-me confiante para avaliar criticamente respostas ou conteúdos gerados por ferramentas de IA.;17. Considero que a IA terá impacto significativo no ensino superior nos próximos anos.;18. Quais ferramentas de IA você já utilizou ao menos uma vez?  ;19. Para quais finalidades você usa IA?  ;20. Utilizo ferramentas de IA para apoiar o planejamento de aulas e atividades didáticas.;21. Utilizo IA para criar ou adaptar materiais didáticos considerando o perfil dos estudantes.;22. Integro a IA em atividades de ensino alinhadas a objetivos pedagógicos claros.;23. Utilizo IA para apoiar processos de avaliação formativa (feedback, rubricas, análise de produções).;24. Consigo identificar limites, riscos e implicações éticas do uso da IA em processos avaliativos.;25. Considero aspectos éticos (viés, privacidade, autoria) ao utilizar IA em contextos educacionais.;26. Discuto com meus estudantes o uso responsável e crítico da IA.;27. Busco ativamente atualizar-me sobre IA e suas implicações para a educação.;28. Compartilho, discuto ou oriento colegas sobre práticas pedagógicas envolvendo IA.;29. A formação docente em IA generativa pode contribuir para a melhoria da qualidade do ensino superior.;30. O uso pedagógico adequado da IA pode tornar as aulas mais engajadoras e significativas.;31. A formação em IA pode apoiar práticas pedagógicas mais inclusivas e personalizadas.;32. Sem formação adequada, o uso da IA pode gerar impactos negativos na educação superior.;33. Existe alguma orientação/política institucional (ou do curso/departamento) sobre uso de IA por docentes e estudantes na IES onde atua?  ;"34. Na sua opinião, qual é a principal dificuldade para a adoção, o uso, de IA no ensino superior? 
(Marque até 2 opções)";35. Se você pudesse participar de uma formação docente, qual seria o seu formato preferido?;36. Qual a quantidade de horas que você acha ideal ter para uma formação docente (independente do formato)?;37. Quais são, em sua opinião, as principais dificuldades para o uso pedagógico da IA no ensino superior?;38. Quais conhecimentos ou competências você considera prioritários em uma formação docente sobre IA e IA generativa, no contexto universitário?;39. Como você acredita que uma formação em IA pode impactar sua prática docente e a aprendizagem dos estudantes universitários?
51 a 60 anos;Feminino;Universidade Estadual do Oeste do Paraná - UNIOESTE;Ciências Exatas e Tecnológicas;Mais de 20 anos;Doutorado;1;1;1;Nenhuma;3;1;1;3;3;ChatGPT;Avaliação/feedback;0;0;0;1;1;1;0;0;0;3;4;4;5;Não sei informar;Falta de formação docente específica, Falta de tempo para explorar ferramentas;Totalmente remoto (online);menos de 20 Horas;Conforme respondido no item 34. Falta de formação docente e tempo do docente para se dedicar ao estudo e consequente aplicação de IA em sua prática docente.;No meu caso desde o básico até o suficiente para aplicar na prática docente com qualidade e bons resultados;Melhorar a apresentação das informações, motivar os estudantes, aproximar docente e estudantes utilizando linguagens mais próxima aos jovens
51 a 60 anos;Masculino;Universidade Estadual do Oeste do Paraná - UNIOESTE;Ciências Exatas e Tecnológicas;Mais de 20 anos;Doutorado;4;5;3;Nenhuma;5;5;5;5;4;ChatGPT, Gemini, DALL·E/Midjourney/Leonardo, DeepSeek, NotebookLM;Planejamento de aula, Elaboração de atividades/exercícios, Comunicação administrativa;1;3;2;0;5;5;4;4;2;4;3;3;4;Sim, mas pouco clara;Falta de formação docente específica, Resistência institucional ou pessoal;Totalmente remoto (online);30 horas;Falta de conhecimento;"Uma formação docente eficaz em IA e IA Generativa (IAG) no contexto universitário
deve ir além do simples aprendizado técnico de ferramentas. ";"Uma formação em Inteligência Artificial (IA) para docentes do ensino superior
atua como um catalisador para a modernização das práticas de ensino, impactando profundamente tanto a eficiência do professor quanto a experiência de aprendizagem dos alunos"
41 a 50 anos;Masculino;Universidade Estadual do Oeste do Paraná - UNIOESTE;Ciências Exatas e Tecnológicas;11 a 20 anos;Doutorado;1;5;4;Apenas 1;4;4;5;5;5;ChatGPT, Gemini;Planejamento de aula, Criação de materiais didáticos, Elaboração de atividades/exercícios, Pesquisa acadêmica, Comunicação administrativa;2;2;0;4;3;5;2;4;1;4;4;4;5;Não existe;Falta de formação docente específica, Falta de infraestrutura tecnológica, Falta de tempo para explorar ferramentas, Questões éticas e insegurança quanto ao uso;Totalmente remoto (online);20 horas;Falta de regulamentação, necessidade de licenças;Ferramentas;Auxiliar na produtividade e fornecer formas complementares de aprendizado
31 a 40 anos;Masculino;Universidade Estadual do Oeste do Paraná - UNIOESTE;Ciências Exatas e Tecnológicas;6 a 10 anos;Doutorado;2;5;3;Apenas 1;5;4;5;4;5;ChatGPT, Copilot, Gemini, DALL·E/Midjourney/Leonardo;Planejamento de aula, Elaboração de atividades/exercícios, Avaliação/feedback, Comunicação administrativa;3;3;3;3;3;3;4;4;3;4;3;4;5;Não existe;Falta de formação docente específica, Questões éticas e insegurança quanto ao uso;Totalmente remoto (online);20 horas;As principais dificuldades envolvem a falta de formação pedagógica dos professores para uso da IA, a necessidade de repensar práticas de avaliação e preocupações éticas relacionadas à confiabilidade das informações e à autoria acadêmica.;Acho que conhecimentos sobre o funcionamento básico da IA e da IA generativa, seus limites e potencialidades, aspectos éticos e de autoria acadêmica, além do desenvolvimento de estratégias pedagógicas e de avaliação que integrem essas ferramentas.;De forma muito positiva, pois acho que cedo ou tarde, talvez muito mais cedo, essa tecnologia vai estar extremamente presente em qualquer atividade humana, incluindo o ambiente acadêmico em geral.
51 a 60 anos;Feminino;Universidade Estadual do Oeste do Paraná - UNIOESTE;Multidisciplinar / Outra;Mais de 20 anos;Doutorado;1;2;2;Apenas 1;2;1;1;1;5;ChatGPT;Criação de materiais didáticos, Elaboração de atividades/exercícios;1;1;1;0;2;2;2;1;0;3;4;4;5;Não existe;Falta de formação docente específica, Questões éticas e insegurança quanto ao uso;Híbrido;40 horas;Falta de formação docente para o uso adequado da IA e Falta de incentivo institucional para o uso inteligente da IA;Como utilizar a IA e preservar a criatividade do aluno;Sim, acredito que a maior dos docentes não tiveram essa demanda na formação inicial, portanto é necessário pensar a formação permanente e no caso específico,  o domínio, pelos docentes, das ferramentas digitais permeadas pela I será fundamental para preservar a cognição dos alunos.
31 a 40 anos;Feminino;Universidade Estadual do Oeste do Paraná - UNIOESTE;Ciências Biológicas e da Saúde;11 a 20 anos;Doutorado;3;4;4;2 - 3;4;4;5;4;5;ChatGPT, Copilot, Gemini, Claude, Perplexity, DALL·E/Midjourney/Leonardo;Planejamento de aula, Criação de materiais didáticos, Elaboração de atividades/exercícios, Orientação de estudantes, Comunicação administrativa;5;4;5;5;5;3;5;5;5;4;4;4;5;Não existe;Falta de formação docente específica, Questões éticas e insegurança quanto ao uso, Resistência institucional ou pessoal;Híbrido;mais de 40 horas;Falta de discernimento dos gestores, estudantes e corpo docente.;.;.
51 a 60 anos;Masculino;Universidade Estadual do Oeste do Paraná - UNIOESTE;Ciências Humanas e Sociais;Mais de 20 anos;Doutorado;5;3;1;Nenhuma;3;1;1;1;5;ChatGPT, Copilot, Perplexity;Pesquisa acadêmica;0;0;0;0;6;6;3;0;0;4;4;4;5;Não sei informar;Falta de formação docente específica, Falta de tempo para explorar ferramentas;Totalmente presencial;mais de 40 horas;Desconhecimento das ferramentas e falta de capacitação profissional;Uso das ferramentas ;Melhor planejamento das aulas, exposições mais interativas
31 a 40 anos;Feminino;Universidade Estadual do Oeste do Paraná - UNIOESTE;Linguagens, Letras e Artes;2 a 5 anos;Mestrado;1;5;5;2 - 3;5;4;5;5;5;ChatGPT, Copilot, Gemini, Perplexity;Planejamento de aula, Criação de materiais didáticos, Elaboração de atividades/exercícios, Comunicação administrativa;4;4;4;0;4;6;6;6;6;5;5;5;5;Não sei informar;Falta de formação docente específica, Questões éticas e insegurança quanto ao uso;Totalmente remoto (online);mais de 40 horas;Saber o próprio limite ético;Usar de forma crítica e reflexiva;Encontrar outras funcionalidades e prompts mais específicos
41 a 50 anos;Feminino;Universidade Estadual do Oeste do Paraná - UNIOESTE;Ciências Exatas e Tecnológicas;Mais de 20 anos;Doutorado;1;1;5;Nenhuma;3;1;5;3;5;ChatGPT;Criação de materiais didáticos;4;5;5;5;1;5;6;3;2;3;5;5;3;Não existe;Falta de formação docente específica, Questões éticas e insegurança quanto ao uso;Totalmente remoto (online);20 horas;Questões éticas.;Quais as ferramentas e como utilizar.;Melhorar o uso da IA em sala de aula e pesquisas.
41 a 50 anos;Feminino;Universidade Estadual de Londrina - UEL;Ciências Exatas e Tecnológicas;Mais de 20 anos;Doutorado;1;4;1;Nenhuma;5;3;5;4;5;ChatGPT, Gemini;Pesquisa acadêmica, Orientação de estudantes;0;0;0;0;3;4;2;1;1;4;3;3;5;Não existe;Falta de formação docente específica, Falta de tempo para explorar ferramentas;Totalmente remoto (online);20 horas;Entender o papel da ferramenta enquanto auxiliar e não criador de conhecimento, principalmente para alunos que estão em formação.;Habilidades para entender o que a ferramenta faz e como faz para conseguir propor ações que consigam realmente agregar valor ao conhecimento dos alunos.;Com uma formação adequada podemos tirar maior proveito das ferramentas e não ser refém delas. Os estudantes também precisam entender isso. Muitas vezes querem somente faciltar o trabalho e não aprender de verdade.
41 a 50 anos;Feminino;Universidade Estadual de Londrina - UEL;Ciências Biológicas e da Saúde;11 a 20 anos;Doutorado;2;5;5;2 - 3;4;4;5;5;5;ChatGPT, Gemini;Planejamento de aula, Criação de materiais didáticos, Elaboração de atividades/exercícios, Pesquisa acadêmica;3;3;3;2;4;4;4;3;3;5;5;5;5;Não existe;Questões éticas e insegurança quanto ao uso, Resistência institucional ou pessoal;Totalmente remoto (online);40 horas;"Resistência do corpo docente mais ""antigo""; uso ""acomodado"" das informações sem questionar.";"Capacidade crítica: saber ""alimentar"" a IA, questionando-a inclusive na maior parte das vezes.";Quanto mais comprometimento do professor, maior o envolvimento dos estudantes.
Acima de 60 anos;Masculino;Universidade Estadual de Londrina - UEL;Multidisciplinar / Outra;Mais de 20 anos;Doutorado;1;3;1;Nenhuma;3;1;3;3;5;ChatGPT, Gemini;Pesquisa acadêmica;2;2;2;1;2;2;2;0;0;3;3;3;3;Não existe;Falta de tempo para explorar ferramentas, Questões éticas e insegurança quanto ao uso;Totalmente remoto (online);20 horas;Quase não uso!;Não sei;Não sei
31 a 40 anos;Feminino;Universidade Estadual de Londrina - UEL;Ciências Biológicas e da Saúde;6 a 10 anos;Doutorado;3;4;2;2 - 3;4;4;4;5;5;ChatGPT, Gemini, Perplexity, Manus;Elaboração de atividades/exercícios, Avaliação/feedback;1;0;0;3;4;4;2;4;3;5;5;5;5;Não sei informar;Falta de formação docente específica, Questões éticas e insegurança quanto ao uso, Resistência institucional ou pessoal;Totalmente remoto (online);30 horas;O uso sem instrução e sem avaliação. Eu vejo muito aluno usando pra substituir o raciocínio próprio, ou seja, percebo que está servindo de muleta. E nao adianta eu conversar com os alunos que claramente fizeram trabalho com IA generativa, eu tento orientar mas o próximo trabalho vai ser entregue em IA. Mesmo que eu zere a atividade, parece que o aluno nao processa o q está acontecendo. ;Instrução de uso, por docente e por discente. A IA tá aí e nao vai embora. A gente precisa aprender a usá-la a nosso favor.;Vai ajudar muito! Eu ja tentei trabalhar com uma amiga que gosta muito de IA e a gente tentou até orientar alunos a usar de forma correta (pegamos o livro da disciplona em pdf, subimos pra IA e tiramos dúvidas pedindo à IA para que consulte somente o material disponibilizado), mas tivemos muito pouco feedback positivo :(
51 a 60 anos;Masculino;Universidade Estadual de Londrina - UEL;Ciências Biológicas e da Saúde;Mais de 20 anos;Doutorado;2;4;2;Nenhuma;4;1;5;5;5;ChatGPT, Copilot, Gemini;Criação de materiais didáticos, Elaboração de atividades/exercícios, Avaliação/feedback, Pesquisa acadêmica;0;3;0;3;6;6;0;0;0;5;3;2;4;Não existe;Falta de formação docente específica, Falta de tempo para explorar ferramentas;Híbrido;30 horas;A falta de formação em IA;Entender a melhor forma e as limitações da IA;Pode melhorar a produtividade
Acima de 60 anos;Feminino;Universidade Estadual de Londrina - UEL;Ciências Humanas e Sociais;Mais de 20 anos;Doutorado;4;3;5;6 ou mais;5;5;5;5;5;ChatGPT, Copilot, Gemini, Claude, Perplexity, DALL·E/Midjourney/Leonardo, Antiplágio ;Criação de materiais didáticos, Elaboração de atividades/exercícios, Pesquisa acadêmica, Orientação de estudantes, Comunicação administrativa;5;5;5;5;5;5;5;5;5;5;5;5;5;Sim, bem clara;Estão adotando gradativamente! ;Totalmente remoto (online);mais de 40 horas;Conservadorismo e falta de conhecimento!;"Uma formação docente robusta sobre IA e IA Generativa (IAGen) no contexto universitário deve ir além do simples uso de ferramentas, focando em uma ""literacia em IA"" (AI Literacy) que combine competências técnicas, pedagógicas e éticas. Com base em marcos internacionais como o da UNESCO e práticas contemporâneas, os conhecimentos prioritários podem ser estruturados em quatro áreas principais.";A formação em Inteligência Artificial (IA) para docentes universitários representa uma mudança de paradigma, transicionando de um modelo tradicional para um ensino híbrido, personalizado e baseado em dados. O impacto é profundo, agindo tanto na eficiência da gestão de sala de aula quanto na personalização da aprendizagem, promovendo um ambiente mais inclusivo e engajador.
41 a 50 anos;Feminino;Universidade Estadual de Londrina - UEL;Ciências Biológicas e da Saúde;11 a 20 anos;Doutorado;1;3;5;Apenas 1;4;5;5;2;5;ChatGPT, Copilot, Gemini, Manus, napkin;Planejamento de aula, Criação de materiais didáticos, Elaboração de atividades/exercícios;2;2;2;0;5;5;5;5;1;5;5;5;5;Sim, mas pouco clara;Falta de formação docente específica, Falta de infraestrutura tecnológica, Falta de tempo para explorar ferramentas, Questões éticas e insegurança quanto ao uso;Totalmente remoto (online);menos de 20 Horas;;;
51 a 60 anos;Masculino;Universidade Estadual de Londrina - UEL;Ciências Humanas e Sociais;Mais de 20 anos;Mestrado;1;4;5;Apenas 1;5;3;4;2;5;ChatGPT, Gemini, NOTEBOOK LM;Planejamento de aula, Criação de materiais didáticos, Elaboração de atividades/exercícios, Pesquisa acadêmica, Orientação de estudantes;2;2;2;0;4;6;3;3;3;4;4;2;5;Sim, mas pouco clara;Falta de infraestrutura tecnológica, Falta de tempo para explorar ferramentas, Questões éticas e insegurança quanto ao uso;Híbrido;mais de 40 horas;Falta do engajamento do aluno em realmente buscar o aprendizado, boa parte dos alunos veêm a IA como um atalho, para não precisar estudar, e não uma ferramenta para aperfeiçoar o processo de aprendizagem.;Não tenho certeza disso ainda, pois, tudo é muito novo.;Não tenho certeza disso ainda, pois, tudo é muito novo.
31 a 40 anos;Feminino;Universidade Estadual de Londrina - UEL;Ciências Humanas e Sociais;2 a 5 anos;Doutorado;2;4;1;Nenhuma;3;1;5;5;5;ChatGPT, Copilot, Gemini, Não recordo os nomes agora, mas ferramentas para buscar artigos científicos por meio de uma cotação academica. Talvez chame Consensus.;Planejamento de aula, Elaboração de atividades/exercícios;2;2;3;0;5;5;5;5;5;5;5;5;5;Não sei informar;Questões éticas e insegurança quanto ao uso, Resistência institucional ou pessoal;Totalmente remoto (online);40 horas;Em primeiro lugar uma resistência pessoal. Muitos sentem vergonha em dizer que utilizam IA por terem internalizado que o uso dessas ferramentas rouba a autoria docente, coloca o docente em um estado de passividade. Todavia, se o professor assume sua prática enquanto um real pesquisador percebe que há grandes possibilidades ofertadas pelas IAs, que o problema não é utilizá-las. É preciso criticidade, autoria, senso ético para utilizá-las com eficácia, preservando os pressupostos científicos. ;Não sei responder ;Primeiramente quebrará o estereótipo produzido de que utilizar IA é ruim, é uma atividade passiva, pouco intelectual. Estou segura da real intencionalidade da ciência que ensino, sei onde quero chegar e qual minha missão. Segura disso, sinto que o uso de IAs agregaria minha prática docente por possibilitar maiores aberturas, interatividade.
51 a 60 anos;Feminino;Universidade Estadual de Londrina - UEL;Ciências Humanas e Sociais;11 a 20 anos;Doutorado;1;3;2;Apenas 1;4;2;4;1;5;ChatGPT, notebookLM;Planejamento de aula, Criação de materiais didáticos, Elaboração de atividades/exercícios, Pesquisa acadêmica;2;2;2;0;1;2;0;1;0;5;5;5;5;Não existe;Falta de formação docente específica, Falta de infraestrutura tecnológica;Híbrido;40 horas;apoio institucional;conhecer a ferramenta;concordo
Acima de 60 anos;Masculino;Universidade Estadual de Londrina - UEL;Ciências Humanas e Sociais;Mais de 20 anos;Doutorado;5;5;5;4 - 5;5;4;4;5;4;ChatGPT, Copilot, Gemini, Claude, Perplexity;Planejamento de aula, Criação de materiais didáticos, Elaboração de atividades/exercícios, Avaliação/feedback, Pesquisa acadêmica, Orientação de estudantes, Comunicação administrativa;4;3;3;3;4;4;6;4;3;5;5;5;5;Sim, mas pouco clara;Falta de infraestrutura tecnológica, Questões éticas e insegurança quanto ao uso;Híbrido;mais de 40 horas;Recursos tecnologicos ;Dar possibilidades para o corpo docente participar de educação continuada na área de IA.;Rapidez na produção de conteúdos e mais tempo para discutir com os alunos nas questões centrais de tais conteúdos.
31 a 40 anos;Masculino;Universidade Estadual de Londrina - UEL;Linguagens, Letras e Artes;6 a 10 anos;Doutorado;2;2;1;Nenhuma;3;2;1;4;3;ChatGPT;Ainda não utilizei IA;0;0;0;0;0;0;2;2;0;1;1;2;3;Não sei informar;Falta de formação docente específica, Questões éticas e insegurança quanto ao uso;Totalmente remoto (online);20 horas;;;
41 a 50 anos;Masculino;Universidade Estadual de Londrina - UEL;Ciências Exatas e Tecnológicas;11 a 20 anos;Doutorado;1;3;2;Apenas 1;4;2;5;4;5;ChatGPT, Copilot, Gemini, Perplexity;Planejamento de aula, Criação de materiais didáticos, Elaboração de atividades/exercícios, Pesquisa acadêmica;1;2;1;0;2;3;1;3;2;5;5;5;3;Não existe;Falta de formação docente específica, Falta de tempo para explorar ferramentas;Totalmente remoto (online);20 horas;Ego do professor, resistência em mudar hábitos, falta de tempo para explorar, desconfiança na IA.;Uso prático das ferramentas, potencialidades no ensino, exemplos práticos de uso em todos os campos do conhecimento, uso em avaliações (elaboração, correção e feedback), preparação de material didático, otimização de apesentações.;Melhorando a comunicação com os estudantes, tornando o conteúdo mais interessante, otimizando a elaboração e correção de avaliações, viabilizando o feedback individual aos estudantes, atualizando o conteúdo ministrado, automatizando processos repetitivos.
31 a 40 anos;Feminino;Universidade Estadual de Londrina - UEL;Ciências Humanas e Sociais;2 a 5 anos;Mestrado;3;4;4;2 - 3;4;3;4;4;4;ChatGPT, Gemini, Perplexity, ;Planejamento de aula, Criação de materiais didáticos, Elaboração de atividades/exercícios, Avaliação/feedback, Pesquisa acadêmica, Orientação de estudantes, Comunicação administrativa;5;5;5;5;5;5;5;5;3;3;2;3;5;Sim, mas pouco clara;Falta de tempo para explorar ferramentas, Resistência institucional ou pessoal;Híbrido;30 horas;Custo;;Otimização do tempo
